,"ENG"
"00838446-0C5B-4D50-8F56-BCA6FE9C0B86","ENG"
"01A23374-4D72-4A06-9B88-EF74D0ACEE5D","ENG"
"0245B979-D3D6-4B01-83E1-E8D1D2ADA255","ENG"
"0330266.0001.002.umich.edu","ENG"
"03polybiblionrevue55sociuoft","FRE"
"0483445B-3F5E-438B-B93D-2710E42E0BC0","ENG"
"05E77E62-9F5D-4DC5-85A6-70310ECE3175","ENG"
"097BBD67-F500-45D6-850D-7C7BA16CDD6D","ENG"
"09D273E7-E0CF-46A7-9C89-A1170D397666","ENG"
"0A234E18-ABF0-4A19-B036-8FFDAB3D996B","ENG"
"0BABDFB9-5347-4D0E-89DE-436C0204E62E","ENG"
"0C7BB18D-1460-41F8-B392-1CE442A3383A","ENG"
"0CC35A78-9EC6-476B-846D-39B4ED230CC8","ENG"
"0CFCD3C7-9059-44A9-A3B0-F13F7CFA2CC8","ENG"
"0D3BC99A-E2BD-4898-A0CA-80E6E4038638","ENG"
"0DDB0134-9D96-4541-A9B9-4A5DC9102701","ENG"
"1000hintsonflowe00croyuoft","ENG"
"1000milesinmachi00colviala","ENG"
"1000milesinmachi00colvrich","ENG"
"100dollarsignpri00john","ENG"
"100henhowtogethe00wolv","ENG"
"100yearsexplorin00maie","ENG"
"110thmassachuset00mass","ENG"
"11F45693-8414-403A-BA11-8B2F7D5C7AD8","ENG"
"12beitragzurorni00hart","GER"
"13AC8F48-E6C9-4D43-AA63-D87F11DEB54B","ENG"
"13Nati",
"14000milescarria00howe","ENG"
"1485EDDE-0BB8-4115-88CD-D08C244C84A3","ENG"
"1499296.0001.001.umich.edu","GER"
"1499296.0002.001.umich.edu","GER"
"1518EFFC-9C1D-44A7-A783-A9DA08ACFC4D","ENG"
"1575091.0001.001.umich.edu","ENG"
"15F058FF-F30D-4722-9EDB-79F2729E2223","ENG"
"1627sylvasylvarv00baco","ENG"
"16C9B95E-5EF6-4371-9F9C-032CF42A40E1","ENG"
"1762novumorganum00baco","LAT"
"17F748EF-276F-4D36-B618-7229460E5F62","ENG"
"18221922pasteuri00pariuoft","FRE"
"1862appletonsan02newyuoft","ENG"
"1865appletonsan05newyuoft","ENG"
"1879elementsofst00maco","ENG"
"1887catalogueoft00stan","ENG"
"1888catalogueoft00smit","ENG"
"1899biennialreportof1900montrich","ENG"
"1907griffithturn00grif","ENG"
"1909premiumlistc00conn","ENG"
"1914canadianfarm00torouoft","ENG"
"1916canadianfarm00torouoft","ENG"
"1918naturedevelo00curtuoft","ENG"
"1921beginnerszoo00cole","ENG"
"1929montanafarmreviestatrich","ENG"
"1956nianxinjiang00zhon","CHI"
"1957divingprogra00rech","ENG"
"1958nianxiaomaif00nong","CHI"
"1959nianbeijingd00beij","CHI"
"1965condensedins01965urba","ENG"
"1965condensedins1965urba","ENG"
"1965condensedins71965urba","ENG"
"1965condensedins91965urba","ENG"
"1972suggestedins01972urba","ENG"
"1974montanaagricultuunitrich","ENG"
"1978insectpestma01978univ","ENG"
"1979insectpestma01979univ","ENG"
"1980celmooringdy00palo","ENG"
"1980insectpestma01980univ","ENG"
"1980intermountai1981interich","ENG"
"1982censusofagri01unit","ENG"
"1982censusofagri02unit","ENG"
"1982censusofagri09unit","ENG"
"1982insectpestma01982univ","ENG"
"1982unitednation82iucn","ENG"
"1983insectpestma01983univ","ENG"
"1984insectpestma01984univ","ENG"
"1985insectpestma01985univ","ENG"
"1985monitoringsu00park","ENG"
"1985unitednation85inte","ENG"
"1986iucnredlisto86iucn","ENG"
"1986pacificnorthwestrich","ENG"
"1987censusofagri01unit","ENG"
"1987censusofagri02unit","ENG"
"1987censusofagri03unit","ENG"
"1987censusofagri04unit","ENG"
"1987censusofagri05unit","ENG"
"1987censusofagri06unit","ENG"
"1987censusofagri07unit","ENG"
"1987censusofagri08unit","ENG"
"1987censusofagri09unit","ENG"
"1987censusofagri10unit","ENG"
"1987censusofagri11unit","ENG"
"1987censusofagri12unit","ENG"
"1987censusofagri13unit","ENG"
"1987censusofagri14unit","ENG"
"1987censusofagri15unit","ENG"
"1987censusofagri16unit","ENG"
"1987censusofagri17unit","ENG"
"1987censusofagri18unit","ENG"
"1987censusofagri19unit","ENG"
"1987censusofagri20unit","ENG"
"1987censusofagri21unit","ENG"
"1987censusofagri22unit","ENG"
"1987censusofagri23unit","ENG"
"1987censusofagri24unit","ENG"
"1987censusofagri25unit","ENG"
"1987censusofagri26unit","ENG"
"1987censusofagri27unit","ENG"
"1987censusofagri28unit","ENG"
"1987censusofagri29unit","ENG"
"1987censusofagri30unit","ENG"
"1987censusofagri31unit","ENG"
"1987censusofagri32unit","ENG"
"1987censusofagri33unit","ENG"
"1987censusofagri34unit","ENG"
"1987censusofagri35unit","ENG"
"1987censusofagri36unit","ENG"
"1987censusofagri37unit","ENG"
"1987censusofagri38unit","ENG"
"1987censusofagri39unit","ENG"
"1987censusofagri40unit","ENG"
"1987censusofagri41unit","ENG"
"1987censusofagri42unit","ENG"
"1987censusofagri43unit","ENG"
"1987censusofagri44unit","ENG"
"1987censusofagri45unit","ENG"
"1987censusofagri46unit","ENG"
"1987censusofagri47unit","ENG"
"1987censusofagri48unit","ENG"
"1987censusofagri49unit","ENG"
"1987censusofagri50unit","ENG"
"1987censusofagri51unit","ENG"
"1987censusofagri52unit","ENG"
"1987censusofagri53unit","ENG"
"1987censusofagri54unit","ENG"
"1987censusofagri55unit","ENG"
"1987censusofagri56unit","ENG"
"1987insectpestma01987rand","ENG"
"1987montanaarche00montrich","ENG"
"1987planamendmen00unit","ENG"
"1988annualreporttogopoplrich","ENG"
"1988iucnredlisto88wilc","ENG"
"1988montanaagricultuunitrich","ENG"
"1988planamendmen00unit","ENG"
"1988rowcropweedc1277mcgl","ENG"
"19891990californ00unit","ENG"
"1989montanaagricultuunitrich","ENG"
"1989updatetostat00shelrich","ENG"
"19901991annualpr00spar","ENG"
"1990annualreporttogopoplrich","ENG"
"1990bostonurbanw00bost","ENG"
"1990cropproduction00montrich","ENG"
"1990delilahnears00birk","ENG"
"1990insectpestma1242wein","ENG"
"1990iucnredlisto90fles","ENG"
"1990nationalshel00unit","ENG"
"1990unitednation90worl","ENG"
"1990updatetostat00roelrich","ENG"
"1990weedcontroli1278curr","ENG"
"1991contingentvaluatduffrich","ENG"
"1991marchabundancedistribwortrich","ENG"
"1991montanaagricultumontrich","ENG"
"1991montsrank2007montrich","ENG"
"1992decferruginoushawkbatkirich","ENG"
"1992montanaagricultuunitrich","ENG"
"1992statusreport00ontauoft","ENG"
"1993unitednation93worl","ENG"
"1994annualindexo00long","ENG"
"1994columbiarive00nortrich","ENG"
"1994cropproductionmontrich","ENG"
"1994harlequinducksurreicrich","ENG"
"1994iucnredlisto94groo","ENG"
"1994sensitiveplantsuheidrich","ENG"
"1997iucnredlisto97walt","ENG"
"1997unitednation97wcmc","ENG"
"1998993.0001.001.umich.edu","ITA"
"1998cropproductionmontrich","ENG"
"1999780.0001.001.umich.edu","ENG"
"1999amphibianreptilehendrich","ENG"
"19E2795B-55C4-44AD-83E3-C4BA164E9D7C","ENG"
"19yearsclovergro00smit","ENG"
"1a15indexappleto00newyuoft","ENG"
"1A46D254-D97C-4FAB-B6E1-A609FE162358","ENG"
"1AABBAB6-CAEF-464A-8E5C-DEEE9B5E0B01","ENG"
"1ercongrsinter00inte","FRE"
"1ercongrsinter21911inte","FRE"
"1governmentfores00pincuoft","ENG"
"1primerofforestry00pincrich","ENG"
"2000amphibianreptilehendrich","ENG"
"2000annualreporttogopoplrich","ENG"
"2000biologicalintegrbahlrich","ENG"
"2000janassessmentofabanhendrich","ENG"
"2001annualreporttogopoplrich","ENG"
"2001montanaagricultuunitrich","ENG"
"2002annualreporttogopoplrich","ENG"
"2002grizzlybearmanagmontrich","ENG"
"2002listofecolog00montrich","ENG"
"2002montanaagricultuunitrich","ENG"
"2002montanavalueaddemontrich","ENG"
"2003montanavalueaddemontrich","ENG"
"2003unitednation03chap","ENG"
"2004januarybiologicalintegbahlrich","ENG"
"2004julybiologicalintegrbahlrich","ENG"
"2004marchbiologicalintegrbahlrich","ENG"
"2004montanavalueaddemontrich","ENG"
"2005montanaagricultuunitrich","ENG"
"200eggsyearperhe00warr","ENG"
"200eggsyearperhe01warr","ENG"
"200eggsyearperhe02warr","ENG"
"212EF88B-B962-43EA-A529-D84BEA1D481E","ENG"
"22027FBC-FDB5-4625-B3B8-BA42FE7A3E42","ENG"
"2261F449-2D51-4200-A18F-56FFF206C7E6","ENG"
"2442362.0001.001.umich.edu","ENG"
"2442363.0001.001.umich.edu","ENG"
"2443871.0001.001.umich.edu","ENG"
"2445089.0001.001.umich.edu","ENG"
"2446953.0001.001.umich.edu","ENG"
"247576990_2008_Part_1","ENG"
"247576990_2008_Part_2","ENG"
"247576990_2008_Part_3","ENG"
"24dasweedkiller133harv","ENG"
"24E1E2F0-FDE4-4276-BB1A-9D70351DD747","ENG"
"25476261-E5E3-4AA4-A7E5-910CF10F380D","ENG"
"25largestunfragm01lyse","ENG"
"25yearsinpoultry00lang","ENG"
"270492.1-2","ENG"
"28BDEBB0-0EC3-4239-A0F2-CF22BF64FF69","ENG"
"29A7BE7C-3425-47BB-8DD4-982DD5A504D5","ENG"
"2A3A386C-A55C-4446-B5F5-99E4AA2D39B7","ENG"
"2A709907-C2C0-4283-AD53-A43CE9885811","ENG"
"2catalogueofscie14royauoft","ENG"
"2catalogueofscie17royauoft","ENG"
"2catalogueofspec02brituoft","ENG"
"2diveinternationa1908royauoft","ENG"
"2diveinternationa1912royauoft","ENG"
"2divhinternationa1901royauoft","ENG"
"2handbuchderpatho02kolluoft","GER"
